full_path,file_name,size_bytes,last_modified,is_duplicate,duplicate_of,app_name,description,created,extension,file_hash,host,is_app_container,last_accessed,os,os_version,parent_folder,responsible_party,root_folder,scan_timestamp,subrole,username
.\cadence_seal_(future-me_contract).mp3,cadence_seal_(future-me_contract).mp3,1527302,2025-12-25T23:12:10.106261,False,,,,2025-12-26T09:27:32.118674,.mp3,71842f7df26f26cfc458bf47133cb794,Envy2-0,False,2025-12-26T09:27:32.118674,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.303882,general,trcam
.\guardrails_(double_down_drop)_(1).mp3,guardrails_(double_down_drop)_(1).mp3,4249011,2025-12-25T23:12:26.986360,False,,,,2025-12-25T23:13:17.775223,.mp3,f99cab0c0555bcf1b60b921caefc0b2c,Envy2-0,False,2025-12-25T23:13:17.775223,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.306077,general,trcam
.\guardrails_(double_down_drop).mp3,guardrails_(double_down_drop).mp3,4241568,2025-12-25T23:12:21.930803,False,,,,2025-12-25T23:13:18.055227,.mp3,04f1b7012ab6eba2a448c3f07d2803b7,Envy2-0,False,2025-12-25T23:13:18.055227,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.304083,general,trcam
.\d)guardrails_(double_down_drop).mp3,d)guardrails_(double_down_drop).mp3,2967031,2025-12-26T03:19:52.222435,False,,,,2025-12-26T09:27:32.444678,.mp3,e31c96886c203f5c550ceed0c649e112,Envy2-0,False,2025-12-26T09:27:32.444678,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.304509,general,trcam
.\quarter_reel_(stabilize_to_converge).mp3,quarter_reel_(stabilize_to_converge).mp3,1185679,2025-12-25T23:12:00.115808,False,,,,2025-12-25T23:13:16.125204,.mp3,eac0466dacb513216c16a7559c85561b,Envy2-0,False,2025-12-25T23:13:16.125204,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.298709,general,trcam
.\e)ecosystem_anthem_(orbit).mp3,e)ecosystem_anthem_(orbit).mp3,3860308,2025-12-26T03:20:46.199943,False,,,,2025-12-26T09:27:32.780682,.mp3,7e93540f9c6427a4fd1bbe088f7f0563,Envy2-0,False,2025-12-26T09:27:32.780682,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.298843,general,trcam
.\a)inevitable_spine(1).mp3,a)inevitable_spine(1).mp3,3820065,2025-12-26T03:19:11.607262,False,,,,2025-12-26T09:22:36.604248,.mp3,a8ddef19d009f5b49dcc806a42f3024f,Envy2-0,False,2025-12-26T09:22:36.604248,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.297618,general,trcam
.\i)cadence_seal_(future-me_contract)(1).mp3,i)cadence_seal_(future-me_contract)(1).mp3,3221758,2025-12-26T08:56:51.196369,False,,,,2025-12-26T09:22:31.706191,.mp3,cf76f78967a6e09f6572615ec448e797,Envy2-0,False,2025-12-26T09:22:31.706191,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.300849,general,trcam
.\h)2026_map_(p1_p2_p3).mp3,h)2026_map_(p1_p2_p3).mp3,2226853,2025-12-26T09:31:26.001329,False,,,,2025-12-26T09:34:39.506570,.mp3,e7cad59a866f02e2633f133cb13f3cc0,Envy2-0,False,2025-12-26T09:34:39.506570,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.301445,general,trcam
.\f)milestone_ledger.mp3,f)milestone_ledger.mp3,2423952,2025-12-26T04:09:34.963873,False,,,,2025-12-26T09:27:31.758670,.mp3,399bc5d79eba41a1a5f4823b01e6c62d,Envy2-0,False,2025-12-26T09:27:31.758670,Windows,10.0.26200,.,EchoVerse Audio,.,2025-12-26T09:35:15.301038,general,trcam
